msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,drop_reason
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,2Ulaundry White@300X E,2ulaundry white 300x e,tto_spinout,startup,biotech,,,,,,"2U Laundry is a tech-enabled, premium wash and fold laundry and dry cleaning with pickup and one-day turnaround.",engage_ventures,,,,,,,,"Charlotte, NC",https://www.2ulaundry.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Arborxr,arborxr,tto_spinout,startup,pharma,,,,,,"ArborXR powers XR at scale with enterprise-grade device management, content distribution, and learner analytics, trusted by 60+ Fortune 500 companies.",engage_ventures,,,,,,,,"Norman, OK",https://arborxr.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Artboard 1,artboard 1,tto_spinout,startup,digital_health,,,,,,"FeatureBase (formerly Molecula) closes the gap between data and decision, enabling companies to unlock the power of real-time analytics and AI. Molecula’s FeatureBase powers analytics and machine learning applications, making data immediately accessible, actionable, and reusable.",engage_ventures,,,,,,,,"Austin, TX",https://www.featurebase.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Autonoma Logo White E,autonoma logo white e,tto_spinout,startup,medtech,,,,,,"Autonoma bridges the gap between the physical and virtual worlds, harnessing active digital twins to accelerate innovation in mobility, robotics, and the infrastructure of tomorrow.",engage_ventures,,,,,,,,"Auburn, AL",https://autonoma.ai/en#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Bee Downtown,bee downtown,tto_spinout,startup,unknown,,,,,,Bee Downtown is rebuilding the vital bee population with a full service sustainability and employee engagement solution for enterprise.,engage_ventures,,,,,,,,"Durham, NC",https://www.bee-downtown.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Bf White,bf white,tto_spinout,startup,unknown,,,,,,Blue Frontier addresses climate change by commercializing a groundbreaking cooling and dehumidification technology that slashes electricity use and shifts consumption to clean energy generation using embedded energy storage.,engage_ventures,,,,,,,,"Fort Lauderdale, FL",https://bluefrontierac.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Black Corestory 1,black corestory 1,tto_spinout,startup,digital_health,,,,,,CoreStory is an AI-driven code intelligence platform that transforms legacy systems.,engage_ventures,,,,,,,,"San Francisco, CA",https://corestory.ai/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Bluedot White,bluedot white,tto_spinout,startup,unknown,,,,,,Bluedot enables enterprises to connect with their customers  - from off-premise to on-premise - at the right moments anywhere along the journey.,engage_ventures,,,,,,,,"San Francisco, CA",https://bluedot.io/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Call Simulator,call simulator,tto_spinout,startup,digital_health,,,,,,"Call Simulator is a voice/AI simulation platform to replace role-playing for call center agent training. Fully integrated with call center software, Call Simulator uses streaming-speech-to-speech technology to provide an immersive training experience for agents.",engage_ventures,,,,,,,,"Tallahassee, FL",https://callsimulator.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Canvs White,canvs white,tto_spinout,startup,digital_health,,,,,,"Canvs is an AI insights platform for transforming open-ended consumer feedback into actionable consumer and market intelligence using advanced, AI text analysis.",engage_ventures,,,,,,,,"Los Angeles, California",https://canvs.ai/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Cerby Large Dark 10 1,cerby large dark 10 1,tto_spinout,startup,digital_health,,,,,,"Cerby automates and centralizes identity security for every application—SaaS, legacy, or homegrown—eliminating cyber security vulnerabilities by streamlining credential management without the cost or overhead.",engage_ventures,,,,,,,,"Alameda, CA",https://www.cerby.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Cloud Range,cloud range,tto_spinout,startup,unknown,,,,,,"Cloud Range provides sophisticated simulation for cybersecurity teams, measurably reducing cyber risk by preparing cyber defense teams to detect and eradicate cyber threats, eliminating or minimizing the financial damage of a breach.",engage_ventures,,,,,,,,"Nashville, TN",http://cloudrangecyber.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Cresta White@300X E,cresta white 300x e,tto_spinout,startup,digital_health,,,,,,Cresta develops an artificial intelligence platform for call centers.,engage_ventures,,,,,,,,"San Francisco, CA",https://cresta.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Dg Matrix,dg matrix,tto_spinout,startup,unknown,,,,,,DG Matrix offers a hardware replacement for the components that traditionally connect your building to the grid. Their Power Router is 5-10x smaller than traditional solutions and can reduce electricity bills up to 70%.,engage_ventures,,,,,,,,"Raleigh, NC",https://www.dgmatrix.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Employus,employus,tto_spinout,startup,digital_health,,,,,,EmployUs is a platform that helps companies hire more referrals by automating the employee referral process.,engage_ventures,,,,,,,,"Raleigh, NC",http://www.employus.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Evolv Logo White 2000Px,evolv logo white 2000px,tto_spinout,startup,unknown,,,,,,Evolv AI help enterprises find better ways to connect with their customers by studying and optimizing live customer experiences to provide bespoke customer experience across many channels.,engage_ventures,,,,,,,,"San Francisco, CA",https://evolv.ai/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Fastradius,fastradius,tto_spinout,startup,digital_health,,,,,,Fast Radius is an on-demand additive manufacturing and production platform for enterprise.,engage_ventures,,,,,,,,"Chicago, IL",https://www.fastradius.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Filtered White@300X E,filtered white 300x e,tto_spinout,startup,digital_health,,,,,,"Filtered is a platform that helps companies accelerate technical talent hiring through objective, performance-based coding interviews.",engage_ventures,,,,,,,,"Boston, MA",https://www.filtered.ai/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Full Light,full light,tto_spinout,startup,unknown,,,,,,"Datalogz automates BI management in tools like Power BI, Tableau, and Qlik by eliminating sprawl, enhancing security, and optimizing costs—transforming bloated analytics environments into streamlined, high-value insights engines.",engage_ventures,,,,,,,,"New York City, NY",https://www.datalogz.io/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Herowear Primarylogo White,herowear primarylogo white,tto_spinout,startup,unknown,,,,,,HeroWear designs and manufactures exosuits to take the load off the backs of hardworking people.,engage_ventures,,,,,,,,"Nashville, TN",http://www.herowearexo.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Horizontal Main Logo White,horizontal main logo white,tto_spinout,startup,services,,,,,,Native Voice is working with brands to construct the largest collection of voice services and provide a seamless voice connection to these services on any audio device.,engage_ventures,,,,,,,,"Denver, CO",https://www.nativevoice.ai/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Human White,human white,tto_spinout,startup,unknown,,,,,,"Humantelligence revolutionizes communication and collaboration for distributed knowledge workers by leveraging Gen AI and personality tests to enhance interpersonal connections, team dynamics, and leadership, by providing tailored collaboration tips to optimize engagement, team performance, and meeting effectiveness for large, distributed workforces.",engage_ventures,,,,,,,,"Miami, FL",https://humantelligence.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Icon,icon,tto_spinout,startup,unknown,,,,,,"ICON develops technology and hardware to build customizable, low cost, sustainable 3D printed homes on-demand.",engage_ventures,,,,,,,,"Austin, TX",https://www.iconbuild.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Inclusively Logo White New,inclusively logo white new,tto_spinout,startup,unknown,,,,,,Inclusively is a professional network connecting candidates with disabilities to employers who are cultivating diverse and inclusive workplaces.,engage_ventures,,,,,,,,"St. Louis, MO",https://inclusively.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Loliware,loliware,tto_spinout,startup,biotech,,,,,,"Loliware believes products should be Designed to Disappear. The company has a proprietary technology that transforms seaweed into a “disappearing” food-safe, replacement for plastic. Straws and utensils decompose in consumer composting and garbage at the same rate as banana peels. Their technology is tasteless and lasts far longer than paper alternatives.",engage_ventures,,,,,,,,"New York, NY",http://loliware.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Mavvrik Logo Wht Gdnt 1 1,mavvrik logo wht gdnt 1 1,tto_spinout,startup,biotech,,,,,,"Mavvrik is the financial control center for modern IT, providing enterprises with complete visibility, automation, and governance across cloud, AI, SaaS, and on-prem infrastructure.",engage_ventures,,,,,,,,"Austin, TX",https://www.mavvrik.ai/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Modelop Logo White E,modelop logo white e,tto_spinout,startup,biotech,,,,,,"ModelOp is the leading AI Governance software that helps enterprises safeguard all AI initiatives — including generative AI, Large Language Models (LLMs), in-house, third-party vendor, and embedded systems — without stifling innovation.",engage_ventures,,,,,,,,"Chicago, IL",http://modelop.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Nlx White,nlx white,tto_spinout,startup,digital_health,,,,,,"NLX offers an enterprise conversational AI platform. We incorporate the latest innovations in conversational and generative AI to power automated customer experiences over chat, voice, and our patented multimodal conversations.",engage_ventures,,,,,,,,"New York, New York",https://nlx.ai/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Nubix,nubix,tto_spinout,startup,digital_health,,,,,,Nubix is a container platform that makes it easy to develop and deploy Internet of Things and edge applications.,engage_ventures,,,,,,,,"San Francisco, CA",https://www.nubix.io/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Paccurate White,paccurate white,tto_spinout,startup,digital_health,,,,,,"Paccurate's platform helps shippers identify their perfect mix of carton sizes and gives them complete control over how they're packed in real time, which lowers costs, reduces waste, and creates a better customer experience.",engage_ventures,,,,,,,,"New York, New York",https://paccurate.io/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Paladin Logo White New,paladin logo white new,tto_spinout,startup,unknown,,,,,,"Paladin creates an easy way for lawyers to find and take on cases they are passionate about, as well as manage their pro-bono rosters.",engage_ventures,,,,,,,,"New York, NY",https://www.joinpaladin.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Plural Logo White Aka Civiceagle,plural logo white aka civiceagle,tto_spinout,startup,digital_health,,,,,,"Plural creates cutting-edge software to make it easy for public policy data to be discoverable, interpretable, collaborative, and machine-readable.",engage_ventures,,,,,,,,"Minneapolis, MN",https://www.civiceagle.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Pryon,pryon,tto_spinout,startup,digital_health,,,,,,Pryon is an enterprise AI platform capable of ingesting and understanding structured and unstructured data that can be queried by employees.,engage_ventures,,,,,,,,"Raleigh, NC",https://pryoninc.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Quasar Db Logo White,quasar db logo white,tto_spinout,startup,unknown,,,,,,"Quasar is an ultra-high-performance, cost-effective solution for time-series data challenges in financial and manufacturing applications. Their solution combines large-scale storage, instant querying, and is designed to pick up the slack where most data warehousing fails.",engage_ventures,,,,,,,,"New York, NY",https://quasardb.net/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Shine At Work,shine at work,tto_spinout,startup,unknown,,,,,,"The Shine at Work program offers a timely solution to employee retention with a program that’s customizable, data-driven, and targeted at an employer’s most at-risk employees.",engage_ventures,,,,,,,,"Atlanta, GA & New York, NY",https://www.theshineapp.com/shine-at-work#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Sotero,sotero,tto_spinout,startup,digital_health,,,,,,"Sotero enables organizations to access and analyze data that is sensitive, but data that drives business analytics and supports business operations. Sotero’s technology guarantees sensitive data stays secure throughout its lifecycle, regardless of what platform, application, or operational platform it resides in.",engage_ventures,,,,,,,,"Boston, MA",http://soterosoft.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Stratifyd,stratifyd,tto_spinout,startup,digital_health,,,,,,Stratifyd provides an AI-powered analytics platform that captures all customer interactions and turns them into actionable business intelligence.,engage_ventures,,,,,,,,"Charlotte, NC",https://www.stratifyd.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Sudu,sudu,tto_spinout,startup,unknown,,,,,,Sudu is an on-demand and scheduled trucking service that connects companies that ship freight with a network of trucks and diverse carriers.,engage_ventures,,,,,,,,"Charlotte, NC",https://engage.vc/portfolio/sudu/,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Terzo Logo Horizontal Light,terzo logo horizontal light,tto_spinout,startup,digital_health,,,,,,Terzo's Vendor Relationship Management (VRM) software allows enterprises to turn vendors into strategic partners.,engage_ventures,,,,,,,,"Los Angeles, CA",https://www.terzocloud.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,The Mom Project New,mom project new,tto_spinout,startup,unknown,,,,,,The Mom Project is a marketplace and community that connects enterprises with diverse female talent.,engage_ventures,,,,,,,,"Chicago, IL",https://themomproject.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Therma,therma,tto_spinout,startup,medtech,,,,,,"Therma is the clean cooling company. Using AI and IOT-enabled temperature, humidity, and equipment performance monitoring and control systems, Therma can lower energy usage as well as prevent asset downtime and product loss in commercial and industrial refrigeration (cold supply chains).",engage_ventures,,,,,,,,"San Francisco, CA",http://hellotherma.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Tribute,tribute,tto_spinout,startup,digital_health,,,,,,"Tribute is a one-of-a kind micro-mentorship platform that enhances team collaboration, learning, and productivity in the hybrid workplace.",engage_ventures,,,,,,,,"Seattle, WA",https://engage.vc/portfolio/tribute/,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Veckta White,veckta white,tto_spinout,startup,digital_health,,,,,,"VECKTA is the trusted Energy Transition Platform for Commercial and Industrial businesses globally. Business leaders use the platform to plan and procure onsite energy systems to lower energy costs, improve reliability and reduce carbon emissions with confidence.",engage_ventures,,,,,,,,"San Diego, California",https://www.veckta.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Workstep,workstep,tto_spinout,startup,digital_health,,,,,,"Workstep’s proprietary platform helps manufacturing, logistics, and retail companies hire and retain their hourly workforce through a network of industrial-focused talent and matches enterprises with the types of employees they need.",engage_ventures,,,,,,,,"San Francisco, CA",https://www.workstep.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Workstream Logo New,workstream logo new,tto_spinout,startup,diagnostics,,,,,,"Workstream is an automated hiring platform and mobile app that streamlines the sourcing, screening, and onboarding of hourly workers.",engage_ventures,,,,,,,,"San Francisco, CA",https://www.workstream.us/#new_tab,Step3_geo: tto_location outside assigned MSA
