msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,ticker,drop_reason
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"ADCARE HEALTH SYSTEMS, INC",adcare health systems,operating_company,startup,medtech,ROSWELL,GA,30076,,Other Health Care,,,1004724.0,,,,,,,,,RHEPB,Step8_public: listed on SEC exchange
atlanta,True,True,False,False,2.0,5.0,2944173.0,0.0,0.0,CRYOLIFE INC,cryolife,operating_company,startup,medtech,KENNESAW,GA,30144,,Other Health Care,,,784199.0,,,,,1987.0,2000.0,,,AORT,Step8_public: listed on SEC exchange
atlanta,True,False,False,True,1.0,0.0,0.0,0.0,0.0,"Clearside Biomedical, Inc.",clearside biomedical,operating_company,startup,pharma,Alpharetta,GA,30005,,Pharmaceuticals,,emory_known,1539029.0,,,,,,,,,CLSDQ,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"Cocrystal Pharma, Inc.",cocrystal pharma,operating_company,startup,pharma,TUCKER,GA,30084,,Pharmaceuticals,,,1412486.0,,,,,,,,,COCP,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,7.0,0.0,0.0,0.0,0.0,FEMASYS INC,femasys,operating_company,startup,medtech,SUWANEE,GA,30024,,Other Health Care,,,1339005.0,,,,,,,,,FEMY,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,GALECTIN THERAPEUTICS INC,galectin therapeutics,operating_company,startup,pharma,NORCROSS,GA,30071,,Pharmaceuticals,,,1133416.0,,,,,,,,,GALT,Step8_public: listed on SEC exchange
atlanta,True,True,False,False,1.0,7.0,5691794.0,0.0,0.0,GUIDED THERAPEUTICS INC,guided therapeutics,operating_company,startup,pharma,NORCROSS,GA,30092,,Other Health Care,,,924515.0,EED4JJEKE5V1,800743106,,,2001.0,2011.0,,,GTHP,Step8_public: listed on SEC exchange
atlanta,True,False,False,True,3.0,0.0,0.0,0.0,0.0,"GeoVax Labs, Inc.",geovax labs,operating_company,startup,biotech,SMYRNA,GA,30080,,Biotechnology,,emory_known,832489.0,,,,,,,,,GOVX,Step8_public: listed on SEC exchange
atlanta,True,False,True,False,2.0,0.0,0.0,11.0,10876254.0,"Inhibikase Therapeutics, Inc.",inhibikase therapeutics,operating_company,startup,pharma,Atlanta,GA,30339,,Pharmaceuticals,,,1750149.0,,,,,,,,,IKT,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"MIMEDX GROUP, INC.",mimedx,operating_company,startup,biotech,MARIETTA,GA,30062,,Biotechnology,,,1376339.0,,,,,,,,,MDXG,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"SANUWAVE Health, Inc.",sanuwave health,operating_company,startup,biotech,SUWANEE,GA,30024,,Biotechnology,,,1417663.0,,,,,,,,,SNWV,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"True Nature Holding, Inc.",true nature holding,operating_company,startup,pharma,ATLANTA,GA,30309,,Pharmaceuticals,,,802257.0,,,,,,,,,MITI,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Vicapsys Life Sciences, INC.",vicapsys life sciences,operating_company,startup,biotech,CUMMING,GA,30041,2017.0,Biotechnology,,,1468639.0,,,,,,,,,VICP,Step8_public: listed on SEC exchange
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"iGambit, Inc.",igambit,operating_company,startup,medtech,ATLANTA,GA,30308,,Other Health Care,,,1479681.0,,,,,,,,,NUTX,Step8_public: listed on SEC exchange
baltimore,True,True,True,False,2.0,2.0,1292476.0,2.0,2020517.0,Cerecor Inc.,cerecor,operating_company,startup,biotech,Baltimore,MD,21202,,Biotechnology,,,1534120.0,J7WVEQTH1ML6,968799028,,0.0,2011.0,2016.0,,,AVTX,Step8_public: listed on SEC exchange
baltimore,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"GRAYBUG, Inc.",graybug,operating_company,startup,biotech,BALTIMORE,MD,21205,2011.0,Biotechnology,,,1534133.0,,,,,,,,,CALC,Step8_public: listed on SEC exchange
baltimore,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Mira1a Therapeutics, Inc.",mira1a therapeutics,operating_company,startup,pharma,BALTIMORE,MD,21205,2020.0,Pharmaceuticals,,,1904286.0,,,,,,,,,MIRA,Step8_public: listed on SEC exchange
baltimore,True,False,False,False,9.0,0.0,0.0,0.0,0.0,"MyMD Pharmaceuticals, Inc.",mymd pharmaceuticals,operating_company,startup,pharma,BALTIMORE,MD,21205,2023.0,Other Health Care,,,1321834.0,,,,,,,,,QCLS,Step8_public: listed on SEC exchange
baltimore,True,False,False,False,4.0,0.0,0.0,0.0,0.0,OS Therapies Inc,os therapies,operating_company,startup,pharma,Grasonville,MD,21638,,Pharmaceuticals,,,1795091.0,,,,,,,,,OSTX,Step8_public: listed on SEC exchange
baltimore,True,False,False,False,4.0,0.0,0.0,0.0,0.0,"Processa Pharmaceuticals, Inc.",processa pharmaceuticals,operating_company,startup,pharma,HANOVER,MD,21076,,Pharmaceuticals,,,1533743.0,,,,,,,,,PCSA,Step8_public: listed on SEC exchange
dallas,True,False,False,False,13.0,0.0,0.0,0.0,0.0,"ACTUATE THERAPEUTICS, INC.",actuate therapeutics,operating_company,startup,pharma,FORT WORTH,TX,76107,2015.0,Pharmaceuticals,,,1652935.0,,,,,,,,,ACTU,Step8_public: listed on SEC exchange
dallas,True,False,False,False,3.0,0.0,0.0,0.0,0.0,Alpha Cognition Inc.,alpha cognition,operating_company,startup,biotech,FRISCO,TX,75036,,Biotechnology,,,1655923.0,,,,,,,,,ACOG,Step8_public: listed on SEC exchange
dallas,True,False,False,False,9.0,0.0,0.0,0.0,0.0,CareView Communications Inc,careview communications,operating_company,startup,medtech,LEWISVILLE,TX,75067,,Other Health Care,,,1377149.0,,,,,,,,,CRVW,Step8_public: listed on SEC exchange
dallas,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Forte Biosciences, Inc.",forte biosciences,operating_company,startup,biotech,DALLAS,TX,75247,,Biotechnology,,,1419041.0,,,,,,,,,FBRX,Step8_public: listed on SEC exchange
dallas,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"Fuse Medical, Inc.",fuse medical,operating_company,startup,medtech,FORT WORTH,TX,76102,,Other Health Care,,,319016.0,,,,,,,,,FZMD,Step8_public: listed on SEC exchange
dallas,True,False,False,False,10.0,0.0,0.0,0.0,0.0,"Heart Test Laboratories, Inc.",heart test laboratories,operating_company,startup,biotech,Southlake,TX,76092,,Biotechnology,,,1468492.0,,,,,,,,,HSCSW,Step8_public: listed on SEC exchange
dallas,True,False,False,False,5.0,0.0,0.0,0.0,0.0,"Instil Bio, Inc.",instil bio,operating_company,startup,biotech,DALLAS,TX,75225,2018.0,Biotechnology,,,1789769.0,,,,,,,,,TIL,Step8_public: listed on SEC exchange
dallas,True,False,False,True,2.0,0.0,0.0,0.0,0.0,Lantern Pharma,lantern pharma,operating_company,startup,pharma,DALLAS,TX,7501,,Biotechnology,,utsw_known,1763950.0,,,,,,,,,LTRN,Step8_public: listed on SEC exchange
dallas,True,False,False,False,2.0,0.0,0.0,0.0,0.0,PLASMATECH BIOPHARMACEUTICALS INC,plasmatech biopharmaceuticals,operating_company,startup,pharma,DALLAS,TX,75219,,Pharmaceuticals,,,318306.0,,,,,,,,,ABEO,Step8_public: listed on SEC exchange
dallas,True,False,False,False,5.0,0.0,0.0,0.0,0.0,Sanara MedTech Inc.,sanara medtech,operating_company,startup,medtech,FORT WORTH,TX,76102,,Other Health Care,,,714256.0,,,,,,,,,SMTI,Step8_public: listed on SEC exchange
dallas,True,False,False,True,4.0,0.0,0.0,0.0,0.0,"Taysha Gene Therapies, Inc.",taysha gene therapies,operating_company,startup,biotech,DALLAS,TX,75209,2019.0,Biotechnology,,utsw_known,1806310.0,,,,,,,,,TSHA,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"AMICUS THERAPEUTICS, INC.",amicus therapeutics,operating_company,startup,pharma,PHILADELPHIA,PA,19104,,Biotechnology,,,1178879.0,,,,,,,,,FOLD,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,6.0,0.0,0.0,0.0,0.0,"Aclaris Therapeutics, Inc.",aclaris therapeutics,operating_company,startup,pharma,MALVERN,PA,19355,2012.0,Pharmaceuticals,,,1557746.0,,,,,,,,,ACRS,Step8_public: listed on SEC exchange
philadelphia,True,True,True,False,6.0,2.0,913507.0,2.0,1929278.0,"Annovis Bio, Inc.",annovis bio,operating_company,startup,biotech,BERWYN,PA,19312,,Biotechnology,,,1477845.0,LS3NJ5K64FH8,829845416,https://www.annovisbio.com/,12.0,2010.0,2013.0,,,ANVS,Step8_public: listed on SEC exchange
philadelphia,True,True,True,False,1.0,1.0,1996571.0,2.0,1996571.0,"Aprea Therapeutics, Inc.",aprea therapeutics,operating_company,startup,pharma,DOYLESTOWN,PA,18902,,Biotechnology,,,1781983.0,P4B7EG3NM1T6,117194895,https://www.aprea.com,10.0,2023.0,2023.0,,,APRE,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,5.0,0.0,0.0,0.0,0.0,"AquaMed Technologies, Inc.",aquamed technologies,operating_company,startup,biotech,LANGHORNE,PA,19067,,Biotechnology,,,1468929.0,,,,,,,,,NXGLW,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Arbutus Biopharma Corp,arbutus biopharma,operating_company,startup,pharma,Warminster,PA,18974,,Pharmaceuticals,,,1447028.0,,,,,,,,,ABUS,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"ArriVent Biopharma, Inc.",arrivent biopharma,operating_company,startup,pharma,NEWTOWN SQUARE,PA,19073-3269,2021.0,Biotechnology,,,1868279.0,,,,,,,,,AVBP,Step8_public: listed on SEC exchange
philadelphia,True,False,False,True,1.0,0.0,0.0,0.0,0.0,"Cabaletta Bio, Inc.",cabaletta bio,operating_company,startup,biotech,VILLANOVA,PA,19085,2017.0,Biotechnology,,penn_known,1759138.0,,,,,,,,,CABA,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Century Therapeutics, Inc.",century therapeutics,operating_company,startup,pharma,Philadelphia,PA,19104,2019.0,Other Health Care,,,1850119.0,,,,,,,,,IPSC,Step8_public: listed on SEC exchange
philadelphia,True,True,True,True,1.0,1.0,225222.0,1.0,225222.0,Context Therapeutics Inc.,context therapeutics,operating_company,startup,pharma,PHILADELPHIA,PA,19103,2021.0,Pharmaceuticals,,penn_known,1842952.0,,079800211,http://www.contexttherapeutics.com,8.0,2016.0,2016.0,,,CNTX,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Eliem Therapeutics, Inc.",eliem therapeutics,operating_company,startup,pharma,WILMINGTON,DE,19808,,Biotechnology,,,1768446.0,,,,,,,,,CLYM,Step8_public: listed on SEC exchange
philadelphia,True,True,True,False,5.0,2.0,1093393.0,2.0,1093393.0,"Galera Therapeutics, Inc.",galera therapeutics,operating_company,startup,pharma,MALVERN,PA,19355,2012.0,Pharmaceuticals,,,1563577.0,G61CA7K9CE35,078831383,WWW.GALERATX.COM,8.0,2017.0,2020.0,,,GRTX,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,8.0,0.0,0.0,0.0,0.0,"HELIUS MEDICAL TECHNOLOGIES, INC.",helius medical technologies,operating_company,startup,medtech,NEWTOWN,PA,18940,2014.0,Other Health Care,,,1610853.0,,,,,,,,,HSDT,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,2.0,0.0,0.0,0.0,0.0,HEMISPHERX BIOPHARMA INC,hemispherx biopharma,operating_company,startup,pharma,PHILADELPHIA,PA,19103,,Pharmaceuticals,,,946644.0,,,,,,,,,AIM,Step8_public: listed on SEC exchange
philadelphia,True,False,False,True,2.0,0.0,0.0,0.0,0.0,"INOVIO PHARMACEUTICALS, INC.",inovio pharmaceuticals,operating_company,startup,pharma,Plymouth Meeting,PA,19462,,Biotechnology,,penn_known,1055726.0,,,,,,,,,INO,Step8_public: listed on SEC exchange
philadelphia,True,True,False,False,9.0,1.0,270025.0,0.0,0.0,Immunome Inc.,immunome,operating_company,startup,pharma,WYNNEWOOD,PA,19096,,Pharmaceuticals,,,1472012.0,CKCHDHNUXTM9,801388013,,,2008.0,2008.0,,,IMNM,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Larimar Therapeutics, Inc.",larimar therapeutics,operating_company,startup,pharma,BALA CYNWYD,PA,19004,,Biotechnology,,,1374690.0,,,,,,,,,LRMR,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"NRX Pharmaceuticals, Inc.",nrx pharmaceuticals,operating_company,startup,pharma,WILMINGTON,DE,19801,,Biotechnology,,,1719406.0,,,,,,,,,NRXPW,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Neuronetics, Inc.",neuronetics,operating_company,startup,biotech,MALVERN,PA,19355,,Other Health Care,,,1227636.0,,,,,,,,,STIM,Step8_public: listed on SEC exchange
philadelphia,True,True,False,False,4.0,9.0,2255113.0,0.0,0.0,"Onconova Therapeutics, Inc.",onconova therapeutics,operating_company,startup,pharma,NEWTOWN,PA,18940,,Biotechnology,,,1130598.0,,066821492,,,2003.0,2011.0,,,TRAW,Step8_public: listed on SEC exchange
philadelphia,True,False,False,True,1.0,0.0,0.0,0.0,0.0,"Passage BIO, Inc.",passage bio,operating_company,startup,medtech,PHILADELPHIA,PA,19103,2017.0,Other Health Care,,penn_known,1787297.0,,,,,,,,,PASG,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,2.0,0.0,0.0,0.0,0.0,Phio Pharmaceuticals Corp.,phio pharmaceuticals,operating_company,startup,pharma,KING OF PRUSSIA,PA,19406,,Biotechnology,,,1533040.0,,,,,,,,,PHIO,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,5.0,0.0,0.0,0.0,0.0,Prelude Therapeutics Inc,prelude therapeutics,operating_company,startup,pharma,Wilmington,DE,19803,2016.0,Biotechnology,,,1678660.0,,,,,,,,,PRLD,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"ProPhase Labs, Inc.",prophase labs,operating_company,startup,pharma,DOYLESTOWN,PA,18901,,Pharmaceuticals,,,868278.0,,,,,,,,,PRPH,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Rafael Holdings, Inc.",rafael,operating_company,startup,biotech,NEWARK,NJ,07120,2017.0,Biotechnology,,,1713863.0,,,,,,,,,RFL,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,8.0,0.0,0.0,0.0,0.0,"TELA Bio, Inc.",tela bio,operating_company,startup,biotech,MALVERN,PA,19355,2012.0,Biotechnology,,,1561921.0,,,,,,,,,TELA,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Verrica Pharmaceuticals Inc.,verrica pharmaceuticals,operating_company,startup,pharma,WEST CHESTER,PA,19380,,Pharmaceuticals,,,1660334.0,,,,,,,,,VRCA,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,7.0,0.0,0.0,0.0,0.0,WINDTREE THERAPEUTICS INC /DE/,windtree therapeutics de,operating_company,startup,pharma,WARRINGTON,PA,18976,,Biotechnology,,,946486.0,,,,,,,,,WINT,Step8_public: listed on SEC exchange
philadelphia,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Zymeworks Inc.,zymeworks,operating_company,startup,biotech,MIDDLETOWN,DE,19709,2022.0,Biotechnology,,,1937653.0,,,,,,,,,ZYME,Step8_public: listed on SEC exchange
pittsburgh,True,True,True,True,7.0,12.0,10073229.0,38.0,143334126.0,COGNITION THERAPEUTICS INC,cognition therapeutics,operating_company,startup,pharma,PITTSBURGH,PA,15203,,Biotechnology,,pitt_known,1455365.0,NUNHAKQ7MS86,808434612,http://www.cogrx.com,14.0,2010.0,2021.0,,,CGTX,Step8_public: listed on SEC exchange
pittsburgh,True,False,False,False,4.0,0.0,0.0,0.0,0.0,Carmell Corp,carmell,operating_company,startup,medtech,Pittsburgh,PA,15203,2021.0,Other Health Care,,,1842939.0,,,,,,,,,XAGEW,Step8_public: listed on SEC exchange
pittsburgh,True,False,False,False,5.0,0.0,0.0,0.0,0.0,"Coeptis Therapeutics Holdings, Inc.",coeptis therapeutics,operating_company,startup,pharma,WEXFORD,PA,15090,2022.0,Pharmaceuticals,,,1759186.0,,,,,,,,,COEPW,Step8_public: listed on SEC exchange
pittsburgh,True,False,False,True,1.0,0.0,0.0,0.0,0.0,"Krystal Biotech, Inc.",krystal biotech,operating_company,startup,biotech,PITTSBURGH,PA,15203,2017.0,Biotechnology,,pitt_known,1711279.0,,,,,,,,,KRYS,Step8_public: listed on SEC exchange
pittsburgh,True,True,True,False,8.0,13.0,9701253.0,12.0,5756352.0,LIPELLA PHARMACEUTICALS INC,lipella pharmaceuticals,operating_company,startup,pharma,PITTSBURGH,PA,15208,,Pharmaceuticals,,,1347242.0,JBVNWFNEEV59,187190850,,,2006.0,2022.0,,,LIPO,Step8_public: listed on SEC exchange
pittsburgh,True,False,False,True,2.0,0.0,0.0,0.0,0.0,Predictive Oncology Inc.,predictive oncology,operating_company,startup,biotech,PITTSBURGH,PA,15201,,Biotechnology,,pitt_known,1446159.0,,,,,,,,,AGPU,Step8_public: listed on SEC exchange
